subject,sex,eid,sequence_id,has_video,load_status,load_error,n_trials,n_choice_trials,included
CSHL024,F,89e258e9-cbca-4eca-bac4-13a2388b5113,0,True,success,,580,578,False
CSHL025,F,c875fc7d-0966-448a-813d-663088fbfae8,0,True,success,,740,740,False
CSHL045,M,034e726f-b35f-41e0-8d6c-a22cc32391fb,0,True,success,,589,585,True
CSHL045,M,46794e05-3f6a-4d35-afb3-9165091a5a74,1,True,success,,807,807,True
CSHL045,M,7939711b-8b4d-4251-b698-b97c1eaa846e,2,True,success,,1019,1019,True
CSHL045,M,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,3,True,success,,528,513,True
CSHL045,M,fa704052-147e-46f6-b190-a65b837e605e,4,True,success,,1007,1006,True
CSHL046,M,c94463ed-57da-4f02-8406-46f2f03924f3,0,True,success,,807,807,False
CSHL047,M,2d5f6d81-38c4-4bdc-ac3c-302ea4d5f46e,0,True,success,,421,420,True
CSHL047,M,89f0d6ff-69f4-45bc-b89e-72868abb042a,1,True,success,,948,948,True
CSHL047,M,b52182e7-39f6-4914-9717-136db589706e,2,True,success,,700,698,True
CSHL049,M,4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b,0,True,success,,842,842,True
CSHL049,M,c99d53e6-c317-4c53-99ba-070b26673ac4,1,True,success,,642,640,True
CSHL049,M,d2918f52-8280-43c0-924b-029b2317e62c,2,True,success,,837,837,True
CSHL049,M,d839491f-55d8-4cbe-a298-7839208ba12b,3,True,success,,559,554,True
CSHL051,F,ecb5520d-1358-434c-95ec-93687ecd1396,0,True,success,,510,502,False
CSHL052,F,3663d82b-f197-4e8b-b299-7b803a155b84,0,True,success,,893,893,True
CSHL052,F,4b00df29-3769-43be-bb40-128b1cba6d35,1,True,success,,812,812,True
CSHL052,F,5386aba9-9b97-4557-abcd-abc2da66b863,2,True,success,,1011,1010,True
CSHL052,F,83e77b4b-dfa0-4af9-968b-7ea0c7a0c7e4,3,True,success,,907,907,True
CSHL052,F,85dc2ebd-8aaf-46b0-9284-a197aee8b16f,4,True,success,,770,762,True
CSHL053,F,0deb75fb-9088-42d9-b744-012fb8fc4afb,0,True,success,,675,675,True
CSHL053,F,12dc8b34-b18e-4cdd-90a9-da134a9be79c,1,True,success,,907,907,True
CSHL053,F,810b1e07-009e-4ebe-930a-915e4cd8ece4,2,True,success,,469,469,True
CSHL053,F,eef82e27-c20e-48da-b4b7-c443031649e3,3,True,success,,509,505,True
CSHL054,F,57fd2325-67f4-4d45-9907-29e77d3043d7,0,True,success,,171,164,True
CSHL054,F,a71175be-d1fd-47a3-aa93-b830ea3634a1,1,True,success,,855,855,True
CSHL055,F,0cbeae00-e229-4b7d-bdcc-1b0569d7e0c3,0,True,success,,771,749,False
CSHL058,M,28741f91-c837-4147-939e-918d38d849f2,0,True,success,,401,385,True
CSHL058,M,f312aaec-3b6f-44b3-86b4-3a0c119c0438,1,True,success,,626,621,True
CSHL058,M,fb70ebf7-8175-42b0-9b7a-7c6e8612226e,2,True,success,,649,644,True
