subject,n_dlc,n_video,n_trials_total,n_choice_total,sex,passes_qc,trial_qc_metric
CSHL024,1,1,580,578,F,False,n_choice_total
CSHL025,1,1,740,740,F,False,n_choice_total
CSHL045,5,5,3950,3930,M,True,n_choice_total
CSHL046,1,1,807,807,M,False,n_choice_total
CSHL047,3,3,2069,2066,M,True,n_choice_total
CSHL049,4,4,2880,2873,M,True,n_choice_total
CSHL051,1,1,510,502,F,False,n_choice_total
CSHL052,5,5,4393,4384,F,True,n_choice_total
CSHL053,4,4,2560,2556,F,True,n_choice_total
CSHL054,2,2,1026,1019,F,True,n_choice_total
CSHL055,1,1,771,749,F,False,n_choice_total
CSHL058,3,3,1676,1650,M,True,n_choice_total
CSHL059,5,5,2994,2958,M,True,n_choice_total
CSHL060,5,5,3405,3391,M,True,n_choice_total
CSHL068,1,1,410,410,F,False,n_choice_total
CSHL069,2,2,1729,1729,F,True,n_choice_total
CSHL072,3,3,2592,2587,M,True,n_choice_total
CSHL075,2,2,1812,1812,M,True,n_choice_total
CSH_ZAD_001,1,1,854,850,F,False,n_choice_total
CSH_ZAD_011,1,1,591,591,F,False,n_choice_total
CSH_ZAD_019,4,4,3460,3446,F,True,n_choice_total
CSH_ZAD_022,7,7,6390,6377,M,True,n_choice_total
CSH_ZAD_024,1,1,751,743,M,False,n_choice_total
CSH_ZAD_025,7,7,5514,5500,M,True,n_choice_total
CSH_ZAD_026,6,6,4569,4565,M,True,n_choice_total
CSH_ZAD_029,7,7,8463,8462,M,True,n_choice_total
CSK-im-001,2,2,1180,1111,M,True,n_choice_total
CSK-im-002,6,6,5856,5280,M,True,n_choice_total
CSK-im-009,16,16,11867,11482,M,True,n_choice_total
CSK-im-010,2,2,1772,1694,M,True,n_choice_total
CSK-im-011,5,5,4855,4819,M,True,n_choice_total
CSK-im-012,1,1,907,880,M,False,n_choice_total
CSP011,3,3,1576,1496,F,True,n_choice_total
CSP013,2,2,1490,1488,F,True,n_choice_total
CSP015,3,3,2652,2630,F,True,n_choice_total
CSP016,3,3,1403,1378,F,True,n_choice_total
CSP018,2,2,2328,2328,M,True,n_choice_total
CSP023,3,3,2302,2291,M,True,n_choice_total
CSP025,4,4,2672,2630,M,True,n_choice_total
CSP027,4,4,2279,2223,M,True,n_choice_total
CSP028,4,4,2944,2907,M,True,n_choice_total
CSP029,4,4,2287,2213,M,True,n_choice_total
CSP031,3,3,1960,1942,M,True,n_choice_total
CSP032,1,1,581,581,M,False,n_choice_total
CSP033,4,4,2800,2795,M,True,n_choice_total
DY_008,2,2,880,870,M,False,n_choice_total
DY_009,9,9,3907,3888,M,True,n_choice_total
DY_010,6,6,2990,2978,M,True,n_choice_total
DY_011,4,4,2024,1990,M,True,n_choice_total
DY_013,3,3,1242,1214,M,True,n_choice_total
DY_014,7,7,4340,4322,M,True,n_choice_total
DY_016,5,5,2461,2460,M,True,n_choice_total
DY_018,3,3,1658,1657,M,True,n_choice_total
DY_020,8,8,4714,4713,M,True,n_choice_total
FD_14,3,3,2026,2013,M,True,n_choice_total
FD_21,4,4,3324,3322,M,True,n_choice_total
FD_24,4,4,3429,3419,F,True,n_choice_total
FD_28,3,3,2347,2330,F,True,n_choice_total
FD_36,3,3,2940,2940,M,True,n_choice_total
FMR009,4,4,2711,2680,M,True,n_choice_total
FMR010,4,4,3136,3102,M,True,n_choice_total
FMR011,3,3,1916,1855,M,True,n_choice_total
FMR012,2,2,886,855,M,False,n_choice_total
FMR014,3,3,1872,1854,M,True,n_choice_total
FMR015,4,4,2922,2854,F,True,n_choice_total
FMR019,4,4,2025,1962,M,True,n_choice_total
FMR020,4,4,2893,2881,M,True,n_choice_total
FMR024,4,4,2465,2374,M,True,n_choice_total
FMR025,2,2,962,901,M,False,n_choice_total
FMR027,4,4,2354,2314,M,True,n_choice_total
FMR028,2,2,938,884,F,False,n_choice_total
FMR029,4,4,2110,2064,F,True,n_choice_total
FMR031,3,3,1807,1743,M,True,n_choice_total
FMR032,3,3,2297,2292,M,True,n_choice_total
KS014,3,3,1876,1874,M,True,n_choice_total
KS016,3,3,1742,1742,M,True,n_choice_total
KS020,1,1,339,332,M,False,n_choice_total
KS022,1,1,826,826,M,False,n_choice_total
KS023,4,4,2809,2808,F,True,n_choice_total
KS042,2,2,1149,1147,M,True,n_choice_total
KS043,2,2,1095,1093,M,True,n_choice_total
KS044,2,2,1257,1254,M,True,n_choice_total
KS045,1,1,314,297,M,False,n_choice_total
KS046,4,4,2887,2886,M,True,n_choice_total
KS051,2,2,893,887,M,False,n_choice_total
KS055,1,1,480,479,M,False,n_choice_total
KS074,1,1,587,587,M,False,n_choice_total
KS075,1,1,828,828,M,False,n_choice_total
KS084,2,2,967,967,M,False,n_choice_total
KS086,2,2,1103,1080,M,True,n_choice_total
KS089,1,1,402,384,M,False,n_choice_total
KS091,2,2,1492,1492,M,True,n_choice_total
KS094,4,4,2165,2157,M,True,n_choice_total
KS096,5,5,3460,3455,M,True,n_choice_total
MFD_05,3,3,1837,1836,M,True,n_choice_total
MFD_06,5,5,3356,3333,M,True,n_choice_total
MFD_07,3,3,2361,2356,M,True,n_choice_total
MFD_08,2,2,1529,1529,M,True,n_choice_total
MFD_09,1,1,569,537,M,False,n_choice_total
NR_0017,1,1,911,911,M,False,n_choice_total
NR_0019,3,3,1959,1958,M,True,n_choice_total
NR_0020,4,4,2573,2573,M,True,n_choice_total
NR_0021,4,4,2298,2291,M,True,n_choice_total
NR_0024,4,4,2426,2426,F,True,n_choice_total
NR_0027,4,4,4119,4119,M,True,n_choice_total
NR_0028,5,5,4324,4324,F,True,n_choice_total
NR_0029,5,5,2191,2158,F,True,n_choice_total
NR_0031,2,2,893,892,F,False,n_choice_total
NYU-08,2,2,901,898,F,False,n_choice_total
NYU-11,2,2,990,979,F,False,n_choice_total
NYU-12,3,3,1688,1674,F,True,n_choice_total
NYU-21,3,3,2284,2279,F,True,n_choice_total
NYU-26,1,1,1146,1146,M,False,n_choice_total
NYU-28,4,4,2603,2577,M,True,n_choice_total
NYU-29,1,1,1028,1019,M,False,n_choice_total
NYU-30,4,4,3219,3213,M,True,n_choice_total
NYU-31,3,3,1836,1815,M,True,n_choice_total
NYU-32,3,3,1845,1822,M,True,n_choice_total
NYU-37,5,5,2455,2444,M,True,n_choice_total
NYU-38,2,2,1886,1877,M,True,n_choice_total
NYU-39,5,5,2698,2698,M,True,n_choice_total
NYU-40,4,4,1959,1957,M,True,n_choice_total
NYU-41,4,4,3027,3020,M,True,n_choice_total
NYU-42,2,2,891,857,M,False,n_choice_total
NYU-43,4,4,2216,2080,M,True,n_choice_total
NYU-44,4,4,2086,2050,M,True,n_choice_total
NYU-45,3,3,1415,1415,M,True,n_choice_total
NYU-46,4,4,1849,1829,M,True,n_choice_total
NYU-47,4,4,1926,1907,M,True,n_choice_total
NYU-48,4,4,2347,2345,M,True,n_choice_total
NYU-49,3,3,1754,1706,M,True,n_choice_total
NYU-50,4,4,2242,2134,M,True,n_choice_total
NYU-52,4,4,2564,2470,M,True,n_choice_total
NYU-56,4,4,2155,2026,F,True,n_choice_total
NYU-57,3,3,1705,1639,F,True,n_choice_total
NYU-58,4,4,2693,2628,F,True,n_choice_total
NYU-65,3,3,1445,1429,M,True,n_choice_total
PL015,5,5,2936,2931,M,True,n_choice_total
PL016,1,1,426,426,M,False,n_choice_total
PL017,6,6,3658,3642,M,True,n_choice_total
PL024,1,1,416,413,M,False,n_choice_total
PL030,8,8,3872,3863,M,True,n_choice_total
PL031,5,5,2817,2816,M,True,n_choice_total
PL033,13,13,7501,7498,M,True,n_choice_total
PL034,3,3,2180,2179,M,True,n_choice_total
PL035,4,4,2090,2090,M,True,n_choice_total
PL037,6,6,3685,3681,M,True,n_choice_total
PL050,9,9,6649,6648,M,True,n_choice_total
SH013,3,3,848,771,M,False,n_choice_total
SH014,1,1,159,103,M,False,n_choice_total
SH015,3,3,2232,2207,M,True,n_choice_total
SH016,4,4,1159,998,F,False,n_choice_total
SH017,2,2,1122,1111,F,True,n_choice_total
SH020,2,2,1242,1212,F,True,n_choice_total
SH022,3,3,1894,1880,M,True,n_choice_total
SH023,4,4,2604,2560,M,True,n_choice_total
SH027,3,3,2081,2018,M,True,n_choice_total
SWC_023,1,1,50,15,M,False,n_choice_total
SWC_029,2,2,1116,1116,F,True,n_choice_total
SWC_038,3,3,2002,1983,F,True,n_choice_total
SWC_039,1,1,403,402,F,False,n_choice_total
SWC_042,3,3,1622,1599,M,True,n_choice_total
SWC_043,7,7,4518,4503,M,True,n_choice_total
SWC_052,7,7,4068,4067,F,True,n_choice_total
SWC_053,3,3,1533,1503,M,True,n_choice_total
SWC_054,6,6,3915,3914,M,True,n_choice_total
SWC_058,4,4,2872,2871,M,True,n_choice_total
SWC_060,3,3,1732,1703,F,True,n_choice_total
SWC_061,3,3,1785,1767,F,True,n_choice_total
SWC_065,1,1,839,839,F,False,n_choice_total
SWC_066,2,2,1348,1348,F,True,n_choice_total
UCLA005,1,1,772,772,F,False,n_choice_total
UCLA006,1,1,748,748,F,False,n_choice_total
UCLA011,1,1,764,759,M,False,n_choice_total
UCLA012,1,1,719,711,M,False,n_choice_total
UCLA014,1,1,581,568,F,False,n_choice_total
UCLA017,1,1,665,649,F,False,n_choice_total
UCLA030,1,1,505,505,F,False,n_choice_total
UCLA033,3,3,2143,2143,F,True,n_choice_total
UCLA034,4,4,1852,1746,M,True,n_choice_total
UCLA035,2,2,1750,1750,M,True,n_choice_total
UCLA036,1,1,476,469,M,False,n_choice_total
UCLA037,4,4,2194,2177,M,True,n_choice_total
UCLA044,1,1,562,558,F,False,n_choice_total
UCLA048,1,1,458,458,F,False,n_choice_total
UCLA049,2,2,910,907,F,False,n_choice_total
UCLA052,1,1,436,426,F,False,n_choice_total
ZFM-01576,2,2,1855,1855,F,True,n_choice_total
ZFM-01577,3,3,1899,1879,F,True,n_choice_total
ZFM-01592,3,3,2726,2716,M,True,n_choice_total
ZFM-01935,4,4,3150,3149,M,True,n_choice_total
ZFM-01936,5,5,2570,2552,F,True,n_choice_total
ZFM-01937,2,2,1233,1230,F,True,n_choice_total
ZFM-02181,11,11,4121,4060,M,True,n_choice_total
ZFM-02368,1,1,408,408,M,False,n_choice_total
ZFM-02369,1,1,733,726,M,False,n_choice_total
ZFM-02370,3,3,2208,2208,M,True,n_choice_total
ZFM-02372,2,2,1068,1068,F,True,n_choice_total
